version	phase	path	sha256
20170409170753	main	db/migrate/20170409170753_add_last_webfingered_at_to_accounts.rb	d89a3b38095daf7b4074ff1780ae4212867c7a1fdbaa0ba01e614440a0c69ca8
20170414080609	main	db/migrate/20170414080609_add_devise_two_factor_backupable_to_users.rb	0c4df442d0757ea5a4b28be6589d28c409d2410c8b30e42ae711093b4e7f70c6
20170414132105	main	db/migrate/20170414132105_add_language_to_statuses.rb	acb91903ef038177d3a379c80136025a2306289a8138ca09046fbbc030b98d75
20170418160728	main	db/migrate/20170418160728_add_indexes_to_reports_for_accounts.rb	43362e44195a3b257bb99aad5d96995b81af68f0640bda9cfe9be9e105b0fb3f
20170423005413	main	db/migrate/20170423005413_add_allowed_languages_to_user.rb	e692aa12b1cb9287612fac1409dc6d80aa8bed3ceb4d7f1dd2d38b291364923d
20170424003227	main	db/migrate/20170424003227_create_account_domain_blocks.rb	a5b0e91373b4b6a71376a16d836714a62ae33a3d922cb398a817a5ab90cf33f7
20170424112722	main	db/migrate/20170424112722_add_status_id_index_to_statuses_tags.rb	b089f7e55f852a4c3d3c3aa6a8909fc72affe0df527a59c4464daaed20ae8789
20170425131920	main	db/migrate/20170425131920_add_media_attachment_meta.rb	6d00b91a2e0dfef111b5a261dae88363f5104e7dc09fdcbb36f29ed29769573a
20170425202925	main	db/migrate/20170425202925_add_oembed_to_preview_cards.rb	758aa9381c31b0987e8ba3afa583fd6826fea612603c205cf1d79f2868751d81
20170427011934	main	db/migrate/20170427011934_re_add_owner_to_application.rb	7e58e83dcd55e4e8f36eaa61abe3759ab090a6669d946e2b2b8d2dbcb05626d2
20170506235850	main	db/migrate/20170506235850_create_conversations.rb	42e8adb40969e3ec012f3aa6739f1b3c20c3e9fd775a4fad2b00de3de7e7415f
20170507000211	main	db/migrate/20170507000211_add_conversation_id_to_statuses.rb	df763cb73faf0564747a2b3aafc7e5560d3bedc0d45031796fd5ea7eed93c033
20170507141759	main	db/migrate/20170507141759_optimize_index_subscriptions.rb	f97907a0f5a91cd4b8ffea09614a30d4bd37c75ca3a34c492bb2413bccfe795e
20170508230434	main	db/migrate/20170508230434_create_conversation_mutes.rb	e8ea0023749b016cd6e7279d591b02272f150c84465dff9c4f6759901ec5634f
20170516072309	main	db/migrate/20170516072309_add_index_accounts_on_uri.rb	988b44fbb7bfb45c06aa503d14ae5652445706a5105579c31c0c6c9a489a7a53
20170520145338	main	db/migrate/20170520145338_change_language_filter_to_opt_out.rb	48a0e4a10087f608678b3d4782d65f9d667c7ae8359ef64ace1d0c78129cecf1
20170601210557	main	db/migrate/20170601210557_add_index_on_media_attachments_account_id.rb	326102817db1497cf05c117ce4b4d9597593601a99c2a0e62180711bb9f5a0e6
20170604144747	main	db/migrate/20170604144747_add_foreign_keys_for_accounts.rb	42e6446813c146a222dd1d12e1a1db724a4bb824d251d50e17c23c793765b85a
